ts_code,trade_date,adj_factor
600519.SH,20031029,1.24
600519.SH,20031030,1.24
600519.SH,20031031,1.24
600519.SH,20031103,1.24
600519.SH,20031104,1.24
600519.SH,20031105,1.24
600519.SH,20031106,1.24
600519.SH,20031107,1.24
600519.SH,20031110,1.24
600519.SH,20031111,1.24
600519.SH,20031112,1.24
600519.SH,20031113,1.24
600519.SH,20031114,1.24
600519.SH,20031117,1.24
600519.SH,20031118,1.24
600519.SH,20031119,1.24
600519.SH,20031120,1.24
600519.SH,20031121,1.24
600519.SH,20031124,1.24
600519.SH,20031125,1.24
600519.SH,20031126,1.24
600519.SH,20031127,1.24
600519.SH,20031128,1.24
600519.SH,20031201,1.24
600519.SH,20031202,1.24
600519.SH,20031203,1.24
600519.SH,20031204,1.24
600519.SH,20031205,1.24
600519.SH,20031208,1.24
600519.SH,20031209,1.24
600519.SH,20031210,1.24
600519.SH,20031211,1.24
600519.SH,20031212,1.24
600519.SH,20031215,1.24
600519.SH,20031216,1.24
600519.SH,20031217,1.24
600519.SH,20031218,1.24
600519.SH,20031219,1.24
600519.SH,20031222,1.24
600519.SH,20031223,1.24
600519.SH,20031224,1.24
600519.SH,20031225,1.24
600519.SH,20031226,1.24
600519.SH,20031229,1.24
600519.SH,20031230,1.24
600519.SH,20031231,1.24
600519.SH,20040102,1.24
600519.SH,20040105,1.24
600519.SH,20040106,1.24
600519.SH,20040107,1.24
600519.SH,20040108,1.24
600519.SH,20040109,1.24
600519.SH,20040112,1.24
600519.SH,20040113,1.24
600519.SH,20040114,1.24
600519.SH,20040115,1.24
600519.SH,20040116,1.24
600519.SH,20040129,1.24
600519.SH,20040130,1.24
600519.SH,20040202,1.24
600519.SH,20040203,1.24
600519.SH,20040204,1.24
600519.SH,20040205,1.24
600519.SH,20040206,1.24
600519.SH,20040209,1.24
600519.SH,20040210,1.24
600519.SH,20040211,1.24
600519.SH,20040212,1.24
600519.SH,20040213,1.24
600519.SH,20040216,1.24
600519.SH,20040217,1.24
600519.SH,20040218,1.24
600519.SH,20040219,1.24
600519.SH,20040220,1.24
600519.SH,20040223,1.24
600519.SH,20040224,1.24
600519.SH,20040225,1.24
600519.SH,20040226,1.24
600519.SH,20040227,1.24
600519.SH,20040301,1.24
600519.SH,20040302,1.24
600519.SH,20040303,1.24
600519.SH,20040304,1.24
600519.SH,20040305,1.24
600519.SH,20040308,1.24
600519.SH,20040309,1.24
600519.SH,20040310,1.24
600519.SH,20040311,1.24
600519.SH,20040312,1.24
600519.SH,20040315,1.24
600519.SH,20040316,1.24
600519.SH,20040317,1.24
600519.SH,20040318,1.24
600519.SH,20040319,1.24
600519.SH,20040322,1.24
600519.SH,20040323,1.24
600519.SH,20040324,1.24
600519.SH,20040325,1.24
600519.SH,20040326,1.24
600519.SH,20040329,1.24
600519.SH,20040330,1.24
600519.SH,20040331,1.24
600519.SH,20040401,1.24
600519.SH,20040402,1.24
600519.SH,20040405,1.24
600519.SH,20040406,1.24
600519.SH,20040407,1.24
600519.SH,20040408,1.24
600519.SH,20040409,1.24
600519.SH,20040412,1.24
600519.SH,20040413,1.24
600519.SH,20040414,1.24
600519.SH,20040415,1.24
600519.SH,20040416,1.24
600519.SH,20040419,1.24
600519.SH,20040420,1.24
600519.SH,20040421,1.24
600519.SH,20040422,1.24
600519.SH,20040423,1.24
600519.SH,20040426,1.24
600519.SH,20040427,1.24
600519.SH,20040428,1.24
600519.SH,20040429,1.24
600519.SH,20040430,1.24
600519.SH,20040510,1.24
600519.SH,20040511,1.24
600519.SH,20040512,1.24
600519.SH,20040513,1.24
600519.SH,20040514,1.24
600519.SH,20040517,1.24
600519.SH,20040518,1.24
600519.SH,20040519,1.24
600519.SH,20040520,1.24
600519.SH,20040521,1.24
600519.SH,20040524,1.24
600519.SH,20040525,1.24
600519.SH,20040526,1.24
600519.SH,20040527,1.24
600519.SH,20040528,1.24
600519.SH,20040531,1.24
600519.SH,20040601,1.24
600519.SH,20040602,1.24
600519.SH,20040603,1.24
600519.SH,20040604,1.24
600519.SH,20040607,1.24
600519.SH,20040608,1.24
600519.SH,20040609,1.24
600519.SH,20040610,1.24
600519.SH,20040611,1.24
600519.SH,20040614,1.24
600519.SH,20040615,1.24
600519.SH,20040616,1.24
600519.SH,20040617,1.24
600519.SH,20040618,1.24
600519.SH,20040621,1.24
600519.SH,20040622,1.24
600519.SH,20040623,1.24
600519.SH,20040624,1.24
600519.SH,20040625,1.24
600519.SH,20040628,1.24
600519.SH,20040629,1.24
600519.SH,20040630,1.24
600519.SH,20040701,1.626
600519.SH,20040702,1.626
600519.SH,20040705,1.626
600519.SH,20040706,1.626
600519.SH,20040707,1.626
600519.SH,20040708,1.626
600519.SH,20040709,1.626
600519.SH,20040712,1.626
600519.SH,20040713,1.626
600519.SH,20040714,1.626
600519.SH,20040715,1.626
600519.SH,20040716,1.626
600519.SH,20040719,1.626
600519.SH,20040720,1.626
600519.SH,20040721,1.626
600519.SH,20040722,1.626
600519.SH,20040723,1.626
600519.SH,20040726,1.626
600519.SH,20040727,1.626
600519.SH,20040728,1.626
600519.SH,20040729,1.626
600519.SH,20040730,1.626
600519.SH,20040802,1.626
600519.SH,20040803,1.626
600519.SH,20040804,1.626
600519.SH,20040805,1.626
600519.SH,20040806,1.626
600519.SH,20040809,1.626
600519.SH,20040810,1.626
600519.SH,20040811,1.626
600519.SH,20040812,1.626
600519.SH,20040813,1.626
600519.SH,20040816,1.626
600519.SH,20040817,1.626
600519.SH,20040818,1.626
600519.SH,20040819,1.626
600519.SH,20040820,1.626
600519.SH,20040823,1.626
600519.SH,20040824,1.626
600519.SH,20040825,1.626
600519.SH,20040826,1.626
600519.SH,20040827,1.626
600519.SH,20040830,1.626
600519.SH,20040831,1.626
600519.SH,20040901,1.626
600519.SH,20040902,1.626
600519.SH,20040903,1.626
600519.SH,20040906,1.626
600519.SH,20040907,1.626
600519.SH,20040908,1.626
600519.SH,20040909,1.626
600519.SH,20040910,1.626
600519.SH,20040913,1.626
600519.SH,20040914,1.626
600519.SH,20040915,1.626
600519.SH,20040916,1.626
600519.SH,20040917,1.626
600519.SH,20040920,1.626
